event_time_utc,event_type,symbol,source,direction,entry_price,exit_price,sl,tp1,tp2,quantity,notional_irt,pnl_irt,balance_after_irt,exit_reason
2026-09-15T00:33:29.603705+00:00,close,ETHIRT,ICT/SMC v2,long,584967653.5,577484852.26033,,,,0.000342,,-2559.118023967153,3977410.474697761,SL
2026-09-15T00:48:32.817007+00:00,close,SOLIRT,ICT/SMC v2,long,23747092.0,23505948.805890065,,,,0.008,,-1929.1455528794825,3975481.329144881,SL
2026-09-15T00:48:33.192383+00:00,close,SOLIRT,ICT/SMC v2,long,23747092.0,23505948.805890065,,,,0.008,,-1929.1455528794825,3973552.1835920014,SL
2026-09-15T00:48:39.162794+00:00,close,DOGEIRT,ICT/SMC v2,long,19388.5,19186.271209851613,,,,10.31,,-2084.978826429869,3971467.2047655717,SL
2026-09-15T00:48:39.548934+00:00,close,DOGEIRT,ICT/SMC v2,long,19388.5,19186.271209851613,,,,10.31,,-2084.978826429869,3969382.225939142,SL
2026-09-15T05:18:36.454442+00:00,close,DOGEIRT,Supertrend+ADX,short,19436.5,19021.99509918719,,,,15.43,,6395.810619541684,3975778.036558684,TP1
2026-09-15T06:18:35.215538+00:00,open,ETHIRT,ICT/SMC v2,short,573399589.0,,577008888.6872789,567985639.4690818,562571689.9381635,0.000697,400000.0,,,
2026-09-15T08:03:30.480433+00:00,close,ETHIRT,ICT/SMC v2,short,573399589.0,567985639.4690818,,,,0.000348,,1884.0544367595478,3977662.0909954435,TP1
2026-09-15T08:48:38.956409+00:00,open,SOLIRT,ICT/SMC v2,short,23028200.5,,23177421.668677315,22804368.746984024,22580536.993968043,0.017,400000.0,,,
2026-09-15T09:48:33.558073+00:00,close,SOLIRT,ICT/SMC v2,short,23028200.5,23177421.668677315,,,,0.008,,-1193.769349418521,3976468.321646025,SL
2026-09-15T09:48:34.118753+00:00,close,SOLIRT,ICT/SMC v2,short,23028200.5,23177421.668677315,,,,0.009,,-1342.990518095836,3975125.331127929,SL
